Group By,Nhóm theo,
Group By Field,Nhóm theo Trường,
HD Ticket,Vé HD,
Headings Weight,Trọng số tiêu đề,
Hide condition,Ẩn điều kiện,
Hide from customer,Ẩn khỏi khách hàng,
Holiday List,Danh sách ngày lễ,
Holiday List Name,Tên danh sách ngày lễ,
Holidays,Ngày lễ,
IP Address,Địa chỉ IP,
Icon,Biểu tượng,
Ignore Restrictions,Bỏ qua hạn chế,
Image,Hình ảnh,
Images,Hình ảnh,
Instantly send e-mail,Gửi email ngay lập tức,
Integer value,Giá trị số nguyên,
Is Active,Đang hoạt động,
Is Customer Portal,Là Cổng thông tin khách hàng,
Is Default,Là Mặc định,
Is name setup skipped,Đã bỏ qua thiết lập tên,
Is pinned,Đã ghim,
Is setup complete,Đã hoàn tất thiết lập,
Knowledge Base,Cơ sở tri thức,
Label,Nhãn,
Link Options,Tùy chọn liên kết,
List,Danh sách,
Load Default Columns,Tải các cột mặc định,
Logo,Logo,
Make feedback mandatory,Bắt buộc phản hồi,
Message,Tin nhắn,
Meta,Siêu dữ liệu,
Misc,Khác,
Name,Tên,
Name Weight,Trọng số tên,
On Hold Since,Đang chờ,
On click (Javascript),Khi nhấp (Javascript),
Opening Date,Ngày mở,
Opening Time,Giờ mở,
Order By,Đặt hàng theo,
Pinned,Đã ghim,
Placeholder,Trình giữ chỗ,
Post Description Key,Khóa mô tả bài đăng,
Post Route Key List,Khóa tuyến đường bài đăng Danh sách,
Post Route String,Chuỗi tuyến đường bài đăng,
Post Title Key,Khóa tiêu đề bài đăng,
Prefer knowledge base,Ưu tiên cơ sở kiến ​​thức,
Priorities,Ưu tiên,
Priority,Ưu tiên,
Public,Công khai,
Published On,Xuất bản vào,
Query Options,Tùy chọn truy vấn,
Query Route String,Chuỗi tuyến đường truy vấn,
Raised By (Email),Được đưa ra bởi (Email),
Rating,Xếp hạng,
Read,Đọc,
Reference,Tham chiếu,
Reference Ticket,Vé tham chiếu,
References,Tham chiếu,
Request Key,Khóa yêu cầu,
Required,Bắt buộc,
Resolution,Độ phân giải,
Resolution By,Độ phân giải bởi,
Resolution Date,Ngày phân giải,
Resolution Details,Chi tiết về độ phân giải,
Resolution Time,Thời gian phân giải,
Response,Phản hồi,
Response By,Phản hồi bởi,
Response Options,Tùy chọn phản hồi,
Response Result Key Path,Đường dẫn khóa kết quả phản hồi,
Response and Resolution,Phản hồi và giải quyết,
Restrict tickets by Team,Hạn chế vé theo nhóm,
Result Preview Field,Trường xem trước kết quả,
Result Route Field,Trường tuyến đường kết quả,
Result Title Field,Trường tiêu đề kết quả,
Route Name,Tên tuyến đường,
Rows,Hàng,
SLA,SLA,
SLA Creation,Tạo SLA,
SLA Fulfilled On,SLA đã hoàn thành vào,
SLA Paused On,SLA đã tạm dừng vào,
SLA Status,Trạng thái SLA,
SLAs,SLA,
Script,Script,
Search,Tìm kiếm,
Search Term Param Name,Tên tham số thuật ngữ tìm kiếm,
Service Level Name,Tên cấp độ dịch vụ,
Settings,Cài đặt,
Setup,Thiết lập,
Skip e-mail workflow,Bỏ qua quy trình làm việc qua email,
Source DocType,Loại tài liệu nguồn,
Source Name,Tên nguồn,
Source Type,Loại nguồn,
Start Date,Ngày bắt đầu,
Start Time,Giờ bắt đầu,
Status,Trạng thái,
Status Details,Chi tiết trạng thái,
Subject,Chủ đề,
Subject Weight,Trọng số chủ đề,
Suggest Articles in New TIcket Page,Gợi ý bài viết trong Trang vé mới,
Suppress default email toast,Hủy email mặc định toast,
Synonyms,Từ đồng nghĩa,
System,Hệ thống,
Team,Nhóm,
Team Restrictions,Hạn chế của nhóm,
Template,Mẫu,
Template Name,Tên mẫu,
Ticket,Vé,
Ticket Split From,Tách vé từ,
Ticket Type,Loại vé,
Ticket type,Loại ticket,
Ticket type is mandatory,Loại ticket là bắt buộc,
Title,Tiêu đề,
Title Slug,Slug tiêu đề,
To,Đến,
To Date,Đến ngày,
Toasts,Toasts,
Total Hold Time,Tổng thời gian giữ,
Total Holidays,Tổng ngày lễ,
Track SLA,Theo dõi SLA,
Type,Loại,
URL/Method,URL/Phương pháp,
User,Người dùng,
User Resolution Time,Thời gian giải quyết của người dùng,
Users,Người dùng,
Valid From,Hợp lệ từ,
Value,Giá trị,
Via Customer Portal,Qua Cổng thông tin khách hàng,
Views,Lượt xem,
Weekly Off,Nghỉ hàng tuần,
Word,Từ,
Workday,Ngày làm việc,
Workflow,Quy trình làm việc,
Working Hours,Giờ làm việc,
synonym,từ đồng nghĩa,
Tickets,Tickets,
Create,Tạo mới,
Save Changes,Lưu thay đổi,
Filter,Bộ lọc,
Where,Khi mà,
And,Và,
First Name,Tên,
Equals,Bằng,
Add Filter,Thêm bộ lọc,
Clear all Filter,Xóa tất cả bộ lọc,
"Empty - Choose a field to filter by","Trống - Chọn một trường để lọc theo",
Not Equals,Không bằng,
Like,Giống như,
Not Like,Không Giống như,
In,Trong,
Not In,Không trong,
Is,Là,
Between,Giữa,
Timespan,Khoảng thời gian,
Set,Đặt,
Not Set,Không đặt,
Last Week,Tuần trước,
Last Month,Tháng trước,
Last Quarter,Quý trước,
Last 6 Months,6 tháng trước,
Last Year,Năm trước,
Yesterday,Hôm qua,
Today,Hôm nay,
Tomorrow,Ngày mai,
This Week,Tuần này,
This Month,Tháng này,
This Quarter,Quý này,
This Year,Năm nay,
Next Week,Tuần tới,
Next Month,Tháng tới,
Next Quarter,Quý tới,
Next 6 Months,6 tháng tới,
Next Year,Năm tới,
Sort,Sắp xếp,
Add Sort,Thêm Sắp xếp,
Clear Sort,Xóa Sắp xếp,
Add Column,Thêm cột,
Reset to Default,Đặt lại về mặc định,
"Width can be in number, pixel or rem (eg. 3, 30px, 10rem)","Chiều rộng có thể là số, pixel hoặc rem (ví dụ: 3, 30px, 10rem)",
Width,Chiều rộng,
Cancel,Hủy,
Update,Cập nhật,
Last Modified,Lần sửa đổi cuối cùng,
No Data Found,Không tìm thấy dữ liệu,
No Tickets Found,Không tìm thấy vé,
Create View,Tạo view,
Duplicate View,Sao chép view,
Duplicate,Sao chép,
Edit View,Chỉnh sửa view,
Default Views,Mặc định view,
List View,View danh sách,
Saved Views,View đẫ lưu,
Private Views,View riêng tư,
Public Views,View công khai,
Unpin View,Bỏ ghim view,
Pin View,Ghim view,
Make Private,Đặt chế độ riêng tư,
Make Public,Đặt chế độ công khai,
Make,Thực hiện,
private,riêng tư,
"This view is currently public. Changing it to private will hide it for all the users.","Lượt xem này hiện đang công khai. Việc đổi thành chế độ riêng tư sẽ ẩn nó đối với tất cả người dùng.",
Delete,Xóa,
Are you sure you want to delete this view,Bạn có chắc chắn muốn xóa lượt xem này không,
"This view is public, and will be removed for all users.","Lượt xem này là công khai và sẽ bị xóa đối với tất cả người dùng",
successfully,thành công,
View Name,Tên view,
My Open Tickets,Vé mở của tôi,
New Ticket,Ticket mới,
A short description,Một mô tả ngắn gọn,
Please enter a subject to continue,Vui lòng nhập chủ đề để tiếp tục,
Detailed explanation,Giải thích chi tiết,
Submit,Gửi,
Discard,Loại bỏ,
Discard?,Loại bỏ?,
Are you sure you want to discard this?,Bạn có chắc chắn muốn loại bỏ điều này không?,
Add new,Thêm mới,
Add New Article,Thêm bài viết mới,
Edit Title,Chỉnh sửa tiêu đề,
Merge,Gộp,
Share,Chia sẻ,
Move To,Di chuyển đến,
"Delete articles?","Xóa bài viết?",
Are you sure you want to delete these articles,Bạn có chắc chắn muốn xóa những bài viết này không,
"Delete category?","Xóa danh mục?",
All articles from this category will move to General category,Tất cả các bài viết từ danh mục này sẽ chuyển đến danh mục chung,
Category deleted successfully,Danh mục đã xóa thành công,
Articles deleted successfully,Các bài viết đã xóa thành công,
Category merged successfully,Danh mục đã hợp nhất thành công,
Published,Đã xuất bản,
Draft,Bản nháp,
Archived,Đã lưu trữ,
General,Tổng quan,
Category Updated Successfully,Đã cập nhật danh mục thành công,
Category Created Successfully,Danh mục đã được tạo thành công,
Articles moved successfully,Bài viết đã được di chuyển thành công,
Edit Category,Chỉnh sửa danh mục,
Create Category,Tạo danh mục,
Support Issues,Vấn đề hỗ trợ,
Save,Lưu,
New Article,Bài viết mới,
Select Category,Chọn danh mục,
in,trong,
Write your article here...,Viết bài viết của bạn ở đây...,
Publish,Xuất bản,
Unpublish,Hủy xuất bản,
"Discard changes?","Hủy thay đổi?",
"Are you sure you want to discard changes?","Bạn có chắc chắn muốn hủy thay đổi không?",
Article updated successfully,Bài viết đã được cập nhật thành công,
Delete Article,Xóa bài viết,
"Are you sure you want to delete this article?","Bạn có chắc chắn muốn xóa bài viết này không?",
Article deleted successfully,Bài viết đã được xóa thành công,
Danger,Nguy hiểm,
Copied to clipboard,Đã sao chép vào clipboard,
Confirm,Xác nhận,
No Agents Found,Không tìm thấy đại lý nào,
Agents,Đại lý,
New agent,Đại lý mới,
Add Agents,Thêm mới đại lý,
Type emails,Loại emails,
Add,Thêm,
Send Invites,Gửi lời mời,
Clear All,Xóa tất cả,
"Invites Sent Successfully!","Đã gửi lời mời thành công!",
"Paywall Reached!","Đã đạt đến Paywall!",
"You have reached the maximum number of agents you can add. Please upgrade your plan to add more agents.","Bạn đã đạt đến số lượng đại lý tối đa mà bạn có thể thêm. Vui lòng nâng cấp gói của bạn để thêm nhiều đại lý hơn.",
"Error Sending Invites!","Lỗi khi gửi lời mời!",
Teams,Nhóm,
New team,Nhóm mới,
Product experts,Chuyên gia sản phẩm,
No Teams Found,Không tìm thấy nhóm nào,
Title is required,Cần phải có tiêu đề,
Error creating team,Lỗi khi tạo nhóm,
Assignment rule,Quy tắc phân công,
Add member,Thêm thành viên,
Members,Thành viên,
No members found in team,Không tìm thấy thành viên nào trong nhóm,
Bypass restrictions,Bỏ qua các hạn chế,
Members of this team will be able to bypass any team-wise restriction,Thành viên của nhóm này sẽ có thể bỏ qua mọi hạn chế theo nhóm,
Product Experts,Chuyên gia sản phẩm,
Search agents,Tìm kiếm đại lý,
"No agents found, please add","Không tìm thấy đại lý nào, vui lòng thêm",
agents,đại lý
in the system,trong hệ thống,
Error updating team,Lỗi khi cập nhật nhóm,
Rename,Đổi tên,
Rename team,Đổi tên nhóm,
Delete team,Xóa nhóm,
Are you sure you want to delete,Bạn có chắc chắn muốn xóa không,
This action cannot be reversed,Không thể đảo ngược hành động này,
New title is required,Cần có tiêu đề mới,
New and old title cannot be same,Tiêu đề mới và cũ không được giống nhau,
Error renaming team,Lỗi khi đổi tên nhóm,
Canned Responses,Câu trả lời có sẵn,
No Canned Responses Found,Không tìm thấy câu trả lời có sẵn,
Edit Canned Response,Chỉnh sửa phản hồi đã soạn sẵn,
Create Canned Response,Tạo phản hồi đã soạn sẵn,
Message,Tin nhắn,
"Your query has been resolved. Thank you for reaching out.","Câu hỏi của bạn đã được giải quyết. Cảm ơn bạn đã liên hệ.",
Customers,Khách hàng,
New customer,Khách hàng mới,
No Customers Found,Không tìm thấy khách hàng,
Add New Customer,Thêm khách hàng mới,
Customer Created Successfully,Khách hàng đã được tạo thành công,
Customer Name is required,Tên khách hàng là bắt buộc,
Change photo,Thay đổi ảnh,
Upload photo,Tải ảnh lên,
Remove photo,Xóa ảnh,
Customer updated,Cập nhật khách hàng,
Error updating customer,Lỗi khi cập nhật khách hàng,
New contact,Liên hệ mới,
No Contacts Found,Không tìm thấy liên hệ nào,
Contact updated,Liên hệ đã cập nhật,
Phone Nos,Số điện thoại,
"+91 98765 43210","09123456789",
At least one email is required,Cần có ít nhất một email,
Error updating contact,Lỗi khi cập nhật liên hệ,
No changes to save,Không có thay đổi nào để lưu,
"Invalid file type, only PNG and JPG images are allowed","Loại tệp không hợp lệ, chỉ cho phép hình ảnh PNG và JPG",
Create New Contact,Tạo liên hệ mới,
Last Name,Họ,
Phone,Số điện thoại,
Collapse,Thu gọn,
Expand,Mở rộng,
Activity,Hoạt động,
Assign,Giao phó,
Rename Subject,Đổi tên chủ đề,
Comments,Bình luận,
No Comments,Không có bình luận,
No Email Communications,Không có thông tin liên lạc qua email,
No Activities,Không có hoạt động,
Resolved,Đã giải quyết,
Ticket updated,Ticket đã cập nhật,
New Comment,Bình luận mới,
New Email,Email mới,
New,Mới,
Export,Xuất,
Export Type,Loại xuất,
Export All,Xuất tất cả,
"Record(s)","Bản ghi",
Download,Tải xuống,
Reply,Trả lời,
Comment,Bình luận,
Add a comment...,Thêm bình luận...,
First Response,Phản hồi đầu tiên,
Resolution,Giải quyết,
Source,Nguồn,
Due in,Hạn chót,
Fulfilled in,Đã hoàn thành,
Select Customer,Chọn Khách hàng,
Ticket details,Chi tiết ticket,
Awaiting reply,Đang chờ trả lời,
Log out,Đăng xuất,
Support,Hỗ trợ,
Docs,Tài liệu,
Settings,Cài đặt,
Customer portal,Cổng thông tin khách hàng,
Apps,Ứng dụng,
Email Accounts,Tài khoản email,
Branding,Thương hiệu,
Add Account,Thêm tài khoản,
Please add an email account to continue,Vui lòng thêm tài khoản email để tiếp tục,
Setup Email,Thiết lập Email,
Choose the email service provider you want to configure,Chọn nhà cung cấp dịch vụ email bạn muốn cấu hình,
here,tại đây,
"Setting up GMail requires you to enable two factor authentication and app specific passwords. Read more","Thiết lập GMail yêu cầu bạn bật xác thực hai yếu tố và mật khẩu dành riêng cho ứng dụng. Đọc thêm",
"Setting up Outlook requires you to enable two factor authentication and app specific passwords. Read more","Thiết lập Outlook yêu cầu bạn bật xác thực hai yếu tố và mật khẩu dành riêng cho ứng dụng. Đọc thêm",
"Setting up Sendgrid requires you to enable two factor authentication and app specific passwords. Read more","Thiết lập Sendgrid yêu cầu bạn bật xác thực hai yếu tố và mật khẩu dành riêng cho ứng dụng. Đọc thêm",
"Setting up SparkPost requires you to enable two factor authentication and app specific passwords. Read more","Thiết lập SparkPost yêu cầu bạn bật xác thực hai yếu tố và mật khẩu dành riêng cho ứng dụng. Đọc thêm",
"Setting up Yahoo requires you to enable two factor authentication and app specific passwords. Read more","Thiết lập Yahoo yêu cầu bạn bật xác thực hai yếu tố và mật khẩu dành riêng cho ứng dụng. Đọc thêm",
"Setting up Yandex requires you to enable two factor authentication and app specific passwords. Read more","Thiết lập Yandex yêu cầu bạn bật xác thực hai yếu tố và mật khẩu dành riêng cho ứng dụng. Đọc thêm",
"Setting up Frappe Mail requires you to have an API key and API Secret of your email account. Read more","Thiết lập Frappe Mail yêu cầu bạn phải có khóa API và Bí mật API của tài khoản email của mình. Đọc thêm",
Account name is required,Tên tài khoản là bắt buộc,
Email ID is required,ID email là bắt buộc,
Invalid email ID,ID email không hợp lệ,
Password is required,Mật khẩu là bắt buộc,
API Key is required,Khóa API là bắt buộc,
Account Name,Tên tài khoản,
Email ID,ID email,
Enable Incoming,Bật thư đến,
Enable Outgoing,Bật thư đi,
Default Incoming,Mặc định thư đến,
Default Outgoing,Mặc định thư đi,
Password,Mật khẩu,
Frappe Mail Site,Frappe Mail Site,
"If enabled, tickets can be created from the incoming emails on this account.","Nếu bật, có thể tạo vé từ các email đến trên tài khoản này.",
"If enabled, outgoing emails can be sent from this account.","Nếu bật, có thể gửi email đi từ tài khoản này.",
"If enabled, all replies to your company (eg: replies@yourcomany.com) will come to this account. Note: Only one account can be default incoming.","Nếu bật, tất cả các phản hồi cho công ty của bạn (ví dụ: replies@yourcomany.com) sẽ đến tài khoản này. Lưu ý: Chỉ một tài khoản có thể là mặc định thư đến.",
"If enabled, all outgoing emails will be sent from this account. Note: Only one account can be default outgoing.","Nếu bật, tất cả các email đi sẽ được gửi từ tài khoản này. Lưu ý: Chỉ một tài khoản có thể là mặc định thư đi.",
Back,Quay lại,
Customise your Helpdesk,Tùy chỉnh Helpdesk,
Brand Logo,Logo thương hiệu,
Brand Favicon,Favicon thương hiệu,
"Failed to update, please try again","Không cập nhật được, vui lòng thử lại",
Brand Logo Updated,Logo thương hiệu đã cập nhật,
Favicon Updated,Favicon đã cập nhật,
Please refresh the page to see the changes,Vui lòng làm mới trang để xem các thay đổi,
Upload Image,Tải lên hình ảnh,
Login to Frappe Cloud,Đăng nhập vào Frappe Cloud,
Select language,Lựa chọn ngôn ngữ,
Vietnamese,Tiếng việt,
English,Tiếng anh,
